"","V1","V2","V3","V4","V5"
"",-2710.47881692731,-2743.77242144726,-2743.97677247835,-2743.979195401,-2743.979224243
"x",1.54090704888126,1.55817600268295,1.55828250710342,1.55828376994118,1.55828378497301
"",2.63241542526655,2.64772499702562,2.64772009352255,2.64772003568584,2.64772003499815
"",-1.0200617753099,-1.01877960978769,-1.01879456423426,-1.0187947405327,-1.01879474262929
