"","V1","V2","V3","V4"
"1",NA,NA,NA,NA
"2",NA,NA,NA,NA
"3",NA,NA,NA,NA
"4",NA,NA,NA,NA
"5",NA,NA,NA,NA
"6",NA,NA,NA,NA
"7",NA,NA,NA,NA
"8",NA,NA,NA,NA
"9",NA,NA,NA,NA
"10",425.292834928867,95.3865367905791,302.512835963274,282.446811790692
"11",353.665275950464,71.5079314843909,286.60407491124,222.551910924664
"12",248.292196909062,45.5277034218244,216.890472244066,158.651154942943
"13",165.669189106726,27.8283228008103,148.604721686608,113.958766451797
"14",121.699321519637,18.9759341439042,108.803644768876,90.783558392276
"15",123.797938106107,18.1698548702448,109.70785246088,97.4911560106798
"16",153.642490803784,21.4897246546095,136.314945808724,123.837769196277
"17",189.405582510157,25.4892474862902,169.560003542003,153.425569756493
"18",222.987614022836,29.0550248497864,200.818234231951,180.953471718795
"19",250.392931579859,31.6759567157749,225.209067349303,204.161577515887
"20",266.598381612541,32.738913117997,239.394128426707,218.189003191108
"21",268.676000412687,31.982539066405,243.025831709962,219.535823245963
"22",260.285977039134,30.0028027768593,239.428481763071,211.851372277507
"23",250.454439781447,27.9635019701687,234.632437864918,204.253092108149
"24",245.986064447484,26.6486035303636,233.20136063611,203.148922618282
"25",246.999625539881,26.0349460385461,235.16289167534,207.949880654233
"26",249.989680881337,25.7200115048368,238.284676574655,214.206878816121
"27",252.37316461432,25.425355714089,241.223799875821,218.627531862524
"28",254.068486791181,25.1353572089497,244.059683712567,221.216616427811
"29",256.27309255101,24.9519169503506,247.320214412225,223.803810307788
"30",259.323107089952,24.8820683819447,250.905356576249,227.223524754681
"31",262.135400628793,24.7985108153728,254.086959466423,230.433683536332
"32",263.412552530643,24.568993693777,256.271136323592,232.000456250669
"33",263.100133610592,24.1945653458969,257.609609987339,231.974965401385
"34",262.226967797016,23.7828321772854,258.623478266442,231.760595166343
"35",261.66076314221,23.4228188317348,259.529059514824,232.488935962989
"36",261.297112951267,23.1100855503813,260.018849281625,233.904564425188
"37",260.463461762478,22.7868724659109,259.713187541304,234.864114323212
"38",258.905304559256,22.4311856006559,258.735730872533,234.703718679833
"39",257.150997963496,22.0868600931611,257.701155320984,233.876804678003
"40",255.810355181809,21.8010572997009,257.045677929464,233.188025807294
"41",255.24910705207,21.5973066556308,257.004619763096,233.172899820897
"42",255.147900926379,21.4411160409603,257.350668079818,233.548273603126
"43",254.946860911213,21.2811938749527,257.7245766864,233.735204025011
"44",254.600686449341,21.1135776843898,258.156253707194,233.729527524109
"45",254.101460516409,20.939880241104,258.500665238738,233.677200649021
"46",253.492252504857,20.7663482482044,258.597912990138,233.732754101466
"47",252.641349027195,20.5839321099083,258.233866267578,233.724229329033
"48",251.344735058873,20.37670823405,257.280274034278,233.286918665223
