"","V1"
"415",337.445628216821
"416",337.264336501149
"417",337.970136628222
"418",339.427165750445
"419",341.330572877717
"420",343.189654183477
"421",344.590148055981
"422",345.220951626052
"423",344.959312021779
"424",343.946443422356
"425",342.492548149483
"426",341.077627366523
"427",340.121294016823
"428",339.940002301148
"429",340.645802428222
"430",342.102831550446
"431",344.006238677713
"432",345.865319983474
"433",347.265813855979
"434",347.896617426052
"435",347.634977821778
"436",346.622109222354
"437",345.168213949486
"438",343.753293166526
"439",342.796959816821
"440",342.615668101149
"441",343.321468228224
"442",344.778497350448
"443",346.681904477715
"444",348.540985783475
"445",349.941479655981
"446",350.572283226052
"447",350.31064362178
"448",349.297775022357
"449",347.843879749484
"450",346.428958966524
"451",345.472625616821
"452",345.291333901148
"453",345.997134028221
"454",347.454163150444
"455",349.357570277718
"456",351.216651583478
"457",352.617145455981
"458",353.247949026052
"459",352.986309421779
"460",351.973440822356
"461",350.519545549488
"462",349.104624766527
"463",348.148291416822
"464",347.966999701148
"465",348.672799828223
"466",350.129828950447
"467",352.033236077714
"468",353.892317383475
"469",355.29281125598
"470",355.923614826052
"471",355.661975221777
"472",354.649106622353
"473",353.195211349486
"474",351.780290566525
"475",350.823957216821
"476",350.642665501148
"477",351.348465628221
"478",352.805494750444
"479",354.708901877716
"480",356.567983183476
"481",357.96847705598
"482",358.599280626052
"483",358.337641021779
"484",357.324772422357
"485",355.870877149483
"486",354.455956366523
"487",353.499623016821
"488",353.318331301148
"489",354.024131428222
"490",355.481160550445
"491",357.384567677718
"492",359.243648983478
"493",360.644142855979
"494",361.274946426052
"495",361.013306821778
"496",360.000438222354
"497",358.546542949487
"498",357.131622166527
"499",356.175288816822
"500",355.993997101149
"501",356.699797228223
"502",358.156826350447
"503",360.060233477714
"504",361.919314783475
"505",363.319808655979
"506",363.950612226052
"507",363.688972621777
"508",362.676104022353
"509",361.222208749485
"510",359.807287966525
"511",358.850954616821
"512",358.669662901148
"513",359.375463028221
"514",360.832492150444
"515",362.735899277717
"516",364.594980583477
"517",365.995474455981
"518",366.626278026052
"519",366.364638421779
"520",365.351769822357
"521",363.897874549483
"522",362.482953766523
"523",361.52662041682
"524",361.345328701149
"525",362.051128828222
"526",363.508157950446
"527",365.411565077712
"528",367.270646383473
"529",368.671140255979
"530",369.301943826052
"531",369.040304221778
"532",368.027435622354
"533",366.573540349487
"534",365.158619566527
"535",364.202286216822
"536",364.020994501148
"537",364.726794628223
"538",366.183823750447
"539",368.087230877715
"540",369.946312183475
"541",371.34680605598
"542",371.977609626053
"543",371.71597002178
"544",370.703101422358
"545",369.249206149484
"546",367.834285366524
"547",366.87795201682
"548",366.696660301148
"549",367.402460428222
"550",368.859489550444
"551",370.762896677717
"552",372.621977983478
"553",374.022471855981
"554",374.653275426052
"555",374.391635821778
"556",373.378767222356
"557",371.924871949482
"558",370.509951166523
"559",369.553617816823
"560",369.372326101148
"561",370.078126228223
"562",371.535155350447
"563",373.438562477713
"564",375.297643783474
"565",376.698137655979
"566",377.328941226052
"567",377.067301621778
"568",376.054433022354
"569",374.600537749486
"570",373.185616966525
"571",372.229283616822
"572",372.047991901148
"573",372.753792028224
"574",374.210821150448
"575",376.114228277716
"576",377.973309583476
"577",379.37380345598
"578",380.004607026052
"579",379.742967421779
"580",378.730098822357
"581",377.276203549484
"582",375.861282766524
"583",374.90494941682
"584",374.723657701149
"585",375.429457828222
"586",376.886486950445
"587",378.789894077717
"588",380.648975383477
"589",382.049469255981
"590",382.680272826052
"591",382.418633221779
"592",381.405764622355
"593",379.951869349488
"594",378.536948566528
"595",377.580615216823
"596",377.399323501148
"597",378.105123628223
"598",379.562152750446
"599",381.465559877714
"600",383.324641183475
"601",384.725135055979
"602",385.355938626052
"603",385.094299021778
"604",384.081430422354
"605",382.627535149485
"606",381.212614366525
"607",380.256281016821
"608",380.074989301148
"609",380.780789428221
"610",382.237818550443
"611",384.141225677716
"612",386.000306983476
"613",387.400800855981
"614",388.031604426052
"615",387.769964821779
"616",386.757096222357
"617",385.303200949484
"618",383.888280166524
"619",382.93194681682
"620",382.750655101148
"621",383.456455228222
"622",384.913484350445
"623",386.816891477718
"624",388.675972783478
"625",390.076466655979
"626",390.707270226052
"627",390.445630621778
"628",389.432762022355
"629",387.978866749487
"630",386.563945966526
"631",385.607612616822
"632",385.426320901148
"633",386.132121028223
"634",387.589150150447
"635",389.492557277715
"636",391.351638583475
"637",392.75213245598
"638",393.382936026052
"639",393.121296421777
"640",392.108427822353
"641",390.654532549485
"642",389.239611766525
"643",388.283278416821
"644",388.101986701148
"645",388.807786828222
"646",390.264815950444
"647",392.168223077716
"648",394.027304383477
"649",395.427798255981
"650",396.058601826052
"651",395.796962221779
"652",394.784093622357
"653",393.330198349482
"654",391.915277566523
"655",390.95894421682
"656",390.777652501148
"657",391.483452628222
"658",392.940481750446
"659",394.843888877713
"660",396.702970183474
"661",398.103464055979
"662",398.734267626052
"663",398.472628021778
"664",397.459759422354
"665",396.005864149487
"666",394.590943366526
"667",393.634610016822
"668",393.453318301149
"669",394.159118428224
"670",395.616147550448
"671",397.519554677714
"672",399.378635983475
"673",400.77912985598
"674",401.409933426052
"675",401.14829382178
"676",400.135425222358
"677",398.681529949485
"678",397.266609166525
"679",396.310275816821
"680",396.128984101148
"681",396.834784228221
"682",398.291813350444
"683",400.195220477717
"684",402.054301783477
"685",403.454795655981
"686",404.085599226052
"687",403.823959621779
"688",402.811091022356
"689",401.357195749482
"690",399.942274966522
"691",398.985941616822
"692",398.804649901148
"693",399.510450028223
"694",400.967479150446
"695",402.870886277713
"696",404.729967583474
"697",406.13046145598
"698",406.761265026052
"699",406.499625421778
"700",405.486756822354
"701",404.032861549486
"702",402.617940766526
"703",401.661607416822
"704",401.480315701148
"705",402.186115828223
"706",403.643144950448
"707",405.546552077715
"708",407.405633383476
"709",408.80612725598
"710",409.436930826053
"711",409.17529122178
"712",408.162422622358
"713",406.708527349484
"714",405.293606566524
"715",404.33727321682
"716",404.155981501148
"717",404.861781628222
"718",406.318810750445
