,"V1"
592,380.301548764723
593,379.110757426064
594,377.81809506002
595,376.803394321371
596,376.389743634466
597,376.732424779114
598,377.783449135077
599,379.297437368167
600,380.907354474312
601,382.211400256419
602,382.903064361449
603,382.850961688601
604,382.116646664716
605,380.924363260724
606,379.633633339534
607,378.624335423608
608,378.217118075004
609,378.56195977967
610,379.612563891359
611,381.123762557228
612,382.728525602826
613,384.030154138303
614,384.73076497321
615,384.682752012148
616,383.944934245377
617,382.750858776888
618,381.458793443576
619,380.452654866934
620,380.044795665752
621,380.388371683008
622,381.441481543114
623,382.954957025188
624,384.560241491816
625,385.870228050404
626,386.573645954648
627,386.531851903676
628,385.797964674676
629,384.605147130412
630,383.310135588526
631,382.303786065761
632,381.897362097342
633,382.251665713045
634,383.315338801541
635,384.836967109026
636,386.451744955447
637,387.76032701006
638,388.458610839037
639,388.404926044969
640,387.663507120064
641,386.468384291241
642,385.179280996737
643,384.174702189666
644,383.774378905273
645,384.129580305508
646,385.191650195085
647,386.714874837142
648,388.327657489793
649,389.635758779041
650,390.331691493872
651,390.28616732949
652,389.549042381021
653,388.352922194553
654,387.062409790786
655,386.061287287743
656,385.663092790477
657,386.02110652215
658,387.091654063128
659,388.620361665675
660,390.236890792837
661,391.551920737326
662,392.253998804847
663,392.206067660286
664,391.473658211062
665,390.281539383466
666,388.996670456027
667,388.001313410655
668,387.606251941355
669,387.971509235503
670,389.045730856678
671,390.581177374053
672,392.202173343958
673,393.511338857956
674,394.217158074219
675,394.177385420949
676,393.442993197699
677,392.253857713722
678,390.964197193892
679,389.965584597506
680,389.569937278639
681,389.939749095484
682,391.017755255904
683,392.557035174094
684,394.182222256773
685,395.495923376184
686,396.200276442434
687,396.158649169802
688,395.423755375157
689,394.228301674226
690,392.938832573708
691,391.938905820438
692,391.546372423394
693,391.920211655904
694,393.007671784386
695,394.555940721481
696,396.185457254077
697,397.512279177278
698,398.222695006899
699,398.191796336266
700,397.462248146749
701,396.27400906713
702,394.984853254713
703,393.99008415538
704,393.60673736238
705,393.991714899979
706,395.093004340237
707,396.649166411956
708,398.29451309084
709,399.624293732957
710,400.335459354452
711,400.296838854953
712,399.562260101691
713,398.370394548604
714,397.084781152858
715,396.096332069673
716,395.715977417869
717,396.102452626722
718,397.201889218635
